Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2013-09-19 10:35:39,Human,Channeler,Female,illian,14,19,17,16,11,77
2013-09-19 10:35:39,Human,Channeler,Female,illian,13,17,17,15,9,71
2013-09-19 10:35:39,Human,Channeler,Female,illian,11,17,17,17,11,73
2013-09-19 10:35:39,Human,Channeler,Female,illian,11,19,17,14,13,74
2013-09-19 10:35:39,Human,Channeler,Female,illian,11,17,18,16,11,73
2013-09-19 10:35:38,Human,Channeler,Female,illian,11,19,19,14,14,77
2013-09-19 10:35:38,Human,Channeler,Female,illian,12,15,19,14,14,74
2013-09-19 10:35:38,Human,Channeler,Female,illian,11,17,19,14,11,72
2013-09-19 10:35:38,Human,Channeler,Female,illian,14,18,17,14,11,74
2013-09-19 10:35:38,Human,Channeler,Female,illian,14,17,14,14,11,70
2013-09-19 10:35:37,Human,Channeler,Female,illian,13,18,17,14,9,71
2013-09-19 10:35:37,Human,Channeler,Female,illian,15,17,17,14,12,75
2013-09-19 10:35:37,Human,Channeler,Female,illian,14,19,18,14,9,74
2013-09-19 10:35:37,Human,Channeler,Female,illian,13,15,18,15,11,72
2013-09-19 10:35:37,Human,Channeler,Female,illian,13,17,19,14,12,75
2013-09-19 10:35:36,Human,Channeler,Female,illian,15,19,19,14,12,79
2013-09-19 10:35:36,Human,Channeler,Female,illian,14,19,19,15,13,80
2013-09-19 10:35:36,Human,Channeler,Female,illian,10,18,16,14,14,72
2013-09-19 10:32:41,Human,Channeler,Female,illian,11,18,17,18,13,77
